Player ID,first_name,last_name,team,hits,avg,homeruns,atbats,obp,stolenbases,rbi
621471,Boog,Powell,Cincinnati Reds,4,.167,0,24,.200,1,0
596074,Bobby,Poyner,Boston Red Sox,0,.---,0,0,.---,0,0
445988,Martin,Prado,Miami Marlins,48,.244,1,197,.287,1,18
519151,Ryan,Pressly,Houston Astros,0,.---,0,0,.---,0,0
595777,Jurickson,Profar,San Diego Padres,133,.254,20,524,.335,10,77
643493,Austin,Pruitt,Houston Astros,0,.---,0,0,.---,0,0
624577,Yasiel,Puig,Cleveland Indians,108,.267,23,405,.327,15,63
405395,Albert,Pujols,Los Angeles Angels,114,.245,19,465,.289,1,64
534812,Kevin,Quackenbush,Washington Nationals,0,.---,0,0,.---,0,0
596451,Roman,Quinn,Philadelphia Phillies,34,.260,2,131,.317,10,12
500779,Jose,Quintana,Chicago Cubs,4,.077,0,52,.077,0,0
663432,Tanner,Rainey,Washington Nationals,0,.---,0,0,.---,0,0
541640,Erasmo,Ramirez,New York Mets,0,.000,0,3,.000,0,0
434670,Hanley,Ramirez,Cleveland Indians,45,.254,6,177,.313,4,29
608070,Jose,Ramirez,Cleveland Indians,156,.270,39,578,.387,34,105
542432,Jose,Ramirez,Atlanta Braves,0,.---,0,0,.---,0,0
519166,Neil,Ramirez,Los Angeles Angels,0,.000,0,1,.000,0,0
598287,Noe,Ramirez,Los Angeles Angels,0,.---,0,0,.---,0,0
606162,Yefry,Ramirez,New York Mets,0,.000,0,2,.000,0,0
573109,AJ,Ramos,Colorado Rockies,0,.---,0,0,.---,0,0
591693,Edubray,Ramos,Los Angeles Dodgers,0,.---,0,0,.---,0,0
467092,Wilson,Ramos,New York Mets,117,.306,15,382,.358,0,70
458675,Colby,Rasmus,Baltimore Orioles,6,.133,1,45,.204,0,1
502051,Josh,Ravin,Atlanta Braves,0,.---,0,0,.---,0,0
592662,Robbie,Ray,Toronto Blue Jays,3,.077,0,39,.075,0,2
592663,J.T.,Realmuto,Philadelphia Phillies,132,.277,21,477,.340,3,74
502210,Josh,Reddick,Houston Astros,105,.242,17,433,.318,7,47
592665,Addison,Reed,Minnesota Twins,0,.---,0,0,.---,0,0
607223,AJ,Reed,Chicago White Sox,0,.000,0,3,.000,0,0
642003,Cody,Reed,Tampa Bay Rays,0,.000,0,11,.083,0,0
605439,Michael,Reed,San Francisco Giants,2,.286,0,7,.286,0,0
608701,Rob,Refsnyder,Texas Rangers,14,.167,2,84,.314,0,5
656887,Sean,Reid-Foley,Toronto Blue Jays,0,.000,0,3,.000,0,0
595373,Jack,Reinheimer,Minnesota Twins,5,.167,0,30,.286,1,0
573113,Tony,Renda,Boston Red Sox,0,.---,0,0,.---,0,0
543685,Anthony,Rendon,Los Angeles Angels,163,.308,24,529,.374,2,92
592669,Hunter,Renfroe,Tampa Bay Rays,100,.248,26,403,.302,2,68
621052,Alex,Reyes,St. Louis Cardinals,0,.000,0,1,.000,0,0
614177,Franmil,Reyes,Cleveland Indians,73,.280,16,261,.340,0,31
660875,Jesus,Reyes,Cincinnati Reds,0,.---,0,0,.---,0,0
408314,Jose,Reyes,New York Mets,43,.189,4,228,.260,5,16
622569,Pablo,Reyes,Pittsburgh Pirates,17,.293,3,58,.349,0,7
622682,Victor,Reyes,Detroit Tigers,47,.222,1,212,.239,9,12
448602,Mark,Reynolds,Colorado Rockies,51,.248,13,206,.328,0,40
608703,Matt,Reynolds,Kansas City Royals,2,.154,0,13,.214,0,1
642008,Jacob,Rhame,Los Angeles Angels,0,.000,0,1,.000,0,0
453385,Clayton,Richard,Chicago White Sox,4,.095,1,42,.156,0,3
670950,Trevor,Richards,Tampa Bay Rays,2,.065,0,31,.094,0,2
572073,Joey,Rickard,San Francisco Giants,52,.244,8,213,.300,4,23
595375,JT,Riddle,Pittsburgh Pirates,71,.231,9,308,.277,0,36
605441,Yacksel,Rios,Pittsburgh Pirates,0,.000,0,1,.000,0,0
425784,Rene,Rivera,New York Mets,20,.233,4,86,.275,0,11
592680,Yadiel,Rivera,Texas Rangers,24,.173,1,139,.269,2,9
519203,Anthony,Rizzo,Chicago Cubs,160,.283,25,566,.376,6,101
543699,Tanner,Roark,Toronto Blue Jays,11,.190,0,58,.217,0,8
621002,Daniel,Robertson,San Francisco Giants,74,.262,9,282,.382,2,34
502085,David,Robertson,Philadelphia Phillies,0,.---,0,0,.---,0,0
570663,Hansel,Robles,Los Angeles Angels,0,.000,0,1,.000,0,0
645302,Victor,Robles,Washington Nationals,17,.288,3,59,.348,3,10
