,,PLAYER,AB,R,H,HR,RBI,SO,SB,CS,BA
1311, ,Miguel Sano,266,32,53,13,41,115,0,0,.199
1312, ,Greg Bird,272,23,54,11,38,78,0,0,.199
1313, ,Lewis Brinson,382,31,76,11,42,120,2,1,.199
1314,322,Adam Duvall,384,48,75,15,61,117,2,2,.195
1315,323,Russell Martin,289,37,56,10,25,82,0,3,.194
1316,324,Jose Reyes,228,30,43,4,16,39,5,2,.189
1317, ,Jarrod Dyson,206,29,39,2,12,34,16,3,.189
1318,326,Logan Morrison,318,41,59,15,39,80,1,0,.186
1319, ,Gary Sanchez,323,51,60,18,53,94,1,0,.186
1320,328,Aaron Altherr,243,28,44,8,38,91,3,2,.181
1321,329,Dexter Fowler,289,40,52,8,31,75,5,2,.180
1322,330,Sandy Leon,265,30,47,5,22,75,1,0,.177
1323,331,Chris Davis,470,40,79,16,49,192,2,0,.168
