,,PLAYER,AB,R,H,HR,RBI,SO,SB,CS,BA
242, ,Billy Hamilton,504,74,119,4,29,132,34,10,.236
243, ,Christian Villanueva,351,42,83,20,46,104,3,0,.236
244, ,Orlando Arcia,348,32,82,3,30,87,7,4,.236
245, ,Guillermo Heredia,292,29,69,5,19,52,2,4,.236
246,247,Salvador Perez,510,52,120,27,80,108,1,1,.235
247, ,Cory Spangenberg,298,35,70,7,25,108,6,1,.235
248, ,Ronald Guzman,387,46,91,16,58,121,1,0,.235
249, ,Ryon Healy,493,51,116,24,73,113,0,0,.235
250,251,Yoan Moncada,578,73,136,17,61,217,12,6,.235
251, ,Adam Engel,429,49,101,6,29,129,16,8,.235
252,253,Gorkys Hernandez,414,52,97,15,40,113,8,5,.234
253, ,Nick Ahmed,516,61,121,16,70,109,5,4,.234
254, ,Jackie Bradley Jr.,474,76,111,13,59,137,17,1,.234
255, ,Rosell Herrera,278,25,65,1,20,57,3,5,.234
256,257,Jonathan Schoop,473,61,110,21,61,115,1,1,.233
257, ,Ian Happ,387,56,90,15,44,167,8,4,.233
258,259,Logan Forsythe,371,37,86,2,27,83,3,0,.232
259, ,Devon Travis,357,41,83,11,44,64,3,2,.232
260,261,Alcides Escobar,485,54,112,4,34,74,8,2,.231
261, ,Austin Hedges,303,29,70,14,37,90,3,0,.231
262, ,JT Riddle,308,28,71,9,36,67,0,3,.231
263,264,Tim Beckham,369,45,85,12,35,100,1,2,.230
264, ,Jason Kipnis,530,65,122,18,75,112,7,1,.230
265, ,Tyler Austin,244,34,56,17,47,95,1,2,.230
266, ,Wilmer Difo,408,55,94,7,42,82,10,3,.230
267,268,Carlos Santana,560,82,128,24,86,93,2,1,.229
268, ,Hunter Dozier,362,36,83,11,34,109,2,3,.229
269,270,Matt Davidson,434,51,99,20,62,165,0,0,.228
270,271,Tyler Flowers,251,34,57,8,30,76,0,0,.227
271, ,Justin Bour,423,49,96,20,59,124,2,0,.227
272, ,Michael Taylor,353,46,80,6,28,116,24,6,.227
273,274,Hunter Pence,235,19,53,4,24,59,5,1,.226
274, ,Max Stassi,221,28,50,8,27,74,0,0,.226
275, ,Yangervis Solarte,468,50,106,17,54,72,1,3,.226
276, ,Evan Gattis,407,49,92,25,78,101,1,0,.226
277, ,Scott Kingery,452,55,102,8,35,126,10,3,.226
278,279,Martin Maldonado,373,39,84,9,44,98,0,1,.225
279, ,Jorge Bonifacio,236,31,53,4,23,71,0,1,.225
